date,btc_price,btc_mcap,alt_mcap,total_mcap,btc_dominance,alt_share,eth_btc,n_alts
2013-04-01,103.580346911163,1137324100.7828927,24662479.765594702,1161986580.5484874,0.9787755898575409,0.021224410142459127,,1
2013-04-02,116.679944241173,1281687160.0164895,75244144.22356378,1356931304.2400532,0.9445483024907411,0.055451697509258935,,1
2013-04-03,131.384809378154,1443789615.4101913,75450760.28271264,1519240375.692904,0.9503365224556379,0.04966347754436207,,1
2013-04-04,133.007120475745,1462129293.4937856,88505324.1944734,1550634617.6882591,0.9429231598566912,0.05707684014330883,,1
2013-04-05,142.626065488019,1568432428.539234,61217115.62996627,1629649544.1692002,0.9624354108225306,0.03756458917746941,,1
2013-04-06,143.081822964933,1574027367.5374389,61328717.37838579,1635356084.9158247,0.9624982485808022,0.03750175141919776,,1
2013-04-07,162.852214576856,1792186961.141899,61439387.55962319,1853626348.7015224,0.9668544916818528,0.03314550831814722,,1
2013-04-08,186.351161848042,2051514747.0419729,70481032.06385571,2121995779.1058285,0.9667854984643018,0.03321450153569816,,1
2013-04-09,230.682996695207,2540572928.617984,74517993.91579755,2615090922.5337815,0.9715046259869249,0.028495374013075114,,1
2013-04-10,161.192889661017,1776029674.5699651,60728310.56104262,1836757985.1310077,0.96693722795673,0.03306277204327002,,1
2013-04-11,82.9015850379895,913744570.1872934,51715602.77589717,965460172.9631906,0.9464342453224439,0.05356575467755609,,1
2013-04-12,111.476373194039,1229179118.960385,20966695.83817844,1250145814.7985635,0.9832285997441372,0.016771400255862767,,1
2013-04-13,97.6090718702513,1076680752.5950675,46949517.49613252,1123630270.0912,0.9582162222344527,0.041783777765547314,,1
2013-04-14,88.8614913997663,980530113.2224427,36645382.12488601,1017175495.3473288,0.9639733927011553,0.03602660729884466,,1
2013-04-15,80.8746931659848,892732454.1288539,31391093.612412684,924123547.7412666,0.966031496882491,0.033968503117508986,,1
2013-04-16,68.2831387270602,754043176.5032616,31451682.231398016,785494858.7346596,0.9599594040856448,0.04004059591435516,,1
2013-04-17,92.8640369135009,1025884320.2421464,41693311.78444268,1067577632.026589,0.960945873598629,0.03905412640137096,,1
2013-04-18,108.628345092344,1200434439.8990364,37050801.28747213,1237485241.1865087,0.9700596014769859,0.02994039852301411,,1
2013-04-19,119.012283239042,1315593293.9734411,50129971.956788726,1365723265.93023,0.963294194946116,0.03670580505388399,,1
2013-04-20,128.208288893045,1417741977.5334146,52005369.90869833,1469747347.442113,0.9646161158248006,0.03538388417519944,,1
2013-04-21,118.483243756283,1310722638.199706,52101907.989417985,1362824546.189124,0.961769174076655,0.038230825923345035,,1
2013-04-22,126.31427175979,1397836653.5164456,52480990.007356375,1450317643.523802,0.9638141408251474,0.03618585917485262,,1
2013-04-23,142.127218053185,1573425024.8333805,58226953.13485041,1631651977.968231,0.9643141099198397,0.03568589008016032,,1
2013-04-24,154.1332778045,1706962826.9867718,63849338.0095259,1770812164.9962978,0.963943472226113,0.036056527773887015,,1
2013-04-25,141.008659278492,1562219397.6988719,79716715.31700177,1641936113.0158737,0.9514495633020825,0.048550436697917476,,1
2013-04-26,137.209600419638,1520716614.2806685,79865700.37007408,1600582314.6507425,0.9501020974435163,0.04989790255648374,,1
2013-04-27,128.226669605202,1421628544.643054,80017487.64984995,1501646032.292904,0.9467134824525397,0.05328651754746028,,1
2013-04-28,134.62356956166,1493145659.0043013,80165071.58957048,1573310730.5938718,0.9490468919897909,0.050953108010209136,,1
2013-04-29,143.810378192577,1595664561.2153351,80316858.86934634,1675981420.0846815,0.9520777152378644,0.04792228476213556,,1
2013-04-30,139.129647545295,1544247234.8898036,74944482.89665563,1619191717.7864592,0.9537148800395857,0.04628511996041429,,1
2013-05-01,116.113801040327,1289224863.257716,75082379.30649519,1364307242.5642111,0.9449666636927192,0.0550333363072808,,1
2013-05-02,106.340984697253,1181072403.7427328,56174802.22281795,1237247205.9655507,0.9545969455805083,0.04540305441949166,,1
2013-05-03,96.3168402741087,1070069481.6966928,48100453.20674446,1118169934.9034374,0.9569828773737344,0.04301712262626556,,1
2013-05-04,112.497636369082,1250283521.354362,48158472.76926333,1298441994.1236253,0.9629105705243556,0.03708942947564442,,1
2013-05-05,116.488715827002,1295120354.823742,48219897.0725767,1343340251.8963187,0.9641044798557123,0.03589552014428765,,1
2013-05-06,112.118596195207,1246998701.4902172,48308420.33323422,1295307121.8234515,0.9627050453754714,0.03729495462452859,,1
2013-05-07,111.609212873466,1241802027.6661525,59585516.37998651,1301387544.046139,0.954213856854101,0.045786143145899016,,1
2013-05-08,113.136061854763,1259256954.5163176,56389169.10518558,1315646123.621503,0.9571395620047386,0.0428604379952614,,1
2013-05-09,111.974532710696,1246787690.843792,58553374.80816777,1305341065.6519597,0.9551432370060902,0.04485676299390984,,1
2013-05-10,117.691036883694,1310944548.467899,58677226.59680755,1369621775.0647066,0.9571580799421538,0.04284192005784615,,1
2013-05-11,115.49977766277,1287061932.244286,58781998.51530552,1345843930.7595916,0.9563233171604607,0.043676682839539294,,1
2013-05-12,114.885675559614,1280701257.614276,57911015.26560822,1338612272.8798842,0.9567380215773618,0.043261978422638236,,1
2013-05-13,117.404456646113,1309290368.328104,58005988.97411666,1367296357.3022206,0.9575761401949707,0.042423859805029274,,1
2013-05-14,107.865566569258,1203328284.354879,58103267.070699826,1261431551.4255788,0.9539386286913184,0.0460613713086816,,1
2013-05-15,108.986852425482,1216221320.3093536,48726423.952146366,1264947744.2615,0.9614794965458485,0.03852050345415148,,1
2013-05-16,112.917874050263,1260506722.5284379,36388371.63740728,1296895094.1658452,0.9719419313087833,0.028058068691216742,,1
2013-05-17,117.284616014027,1309724907.460184,57757270.52818322,1367482177.9883673,0.9577637855484544,0.04223621445154557,,1
2013-05-18,118.169876680304,1320050853.4789565,49241097.5196373,1369291950.9985938,0.9640390075442079,0.035960992455792096,,1
2013-05-19,117.033880187025,1307817307.5679667,54453391.39553047,1362270698.9634972,0.9600274810014177,0.03997251899858234,,1
2013-05-20,117.818636469901,1316966680.7029214,54537270.84879243,1371503951.5517137,0.9602354256529199,0.03976457434708014,,1
2013-05-21,117.252040911748,1311075950.280394,54619619.65509704,1365695569.935491,0.9600060065672784,0.039993993432721586,,1
2013-05-22,118.9781735827,1330841045.243314,54705029.755316325,1385546074.9986303,0.9605173507092716,0.03948264929072842,,1
2013-05-23,123.726156049094,1384488238.2845275,54085315.22075066,1438573553.505278,0.9624035106936559,0.03759648930634407,,1
2013-05-24,128.971080654588,1443723531.7086802,51373791.31658446,1495097323.0252645,0.9656384968888636,0.03436150311113639,,1
2013-05-25,128.844915254237,1442842700.700099,51463598.35336274,1494306299.0534618,0.965560207846302,0.03443979215369797,,1
2013-05-26,130.158601110462,1458084131.9281435,56679538.772497974,1514763670.7006414,0.9625819262312508,0.03741807376874917,,1
2013-05-27,126.392905902981,1416455569.2618315,56767738.772497974,1473223308.0343294,0.9614669830005329,0.038533016999467096,,1
2013-05-28,125.904595265926,1411480509.952701,55054495.835275814,1466535005.787977,0.9624594737814016,0.03754052621859838,,1
2013-05-29,129.564812390415,1453058332.4655852,55487840.318348035,1508546172.7839332,0.9632176718754665,0.036782328124533525,,1
2013-05-30,126.513068381064,1419399429.3802016,54056841.85507704,1473456271.2352786,0.9633128970907577,0.036687102909242264,,1
2013-05-31,127.816488895383,1434582209.346897,53521596.28070525,1488103805.627602,0.9640336943711177,0.035966305628882256,,1
2013-06-01,128.791151081239,1446207401.3631341,51292350.58373656,1497499751.9468708,0.9657480072921197,0.03425199270788026,,1
2013-06-02,122.626708942139,1377596394.8728476,48292947.0541732,1425889341.9270208,0.9661313500044066,0.03386864999559336,,1
2013-06-03,122.949187901812,1381873848.829096,51314852.575781696,1433188701.4048777,0.9641953271572121,0.03580467284278788,,1
2013-06-04,120.189968731736,1351501920.6073377,51654728.87338707,1403156649.4807248,0.9631867697077847,0.03681323029221528,,1
2013-06-05,120.869923845704,1359703823.5926516,51191432.242220424,1410895255.834872,0.9637170569321046,0.03628294306789537,,1
2013-06-06,119.053975669784,1339814370.1351333,51456732.28594264,1391271102.4210758,0.9630145898981168,0.036985410101883165,,1
2013-06-07,110.1977314436,1240591162.2237136,54417494.34810078,1295008656.5718145,0.9579790497368902,0.04202095026310981,,1
2013-06-08,109.178545341321,1229611335.792512,46396529.23346807,1276007865.02598,0.9636393077933548,0.03636069220664517,,1
2013-06-09,99.9036034482759,1125550441.613678,43734957.0743721,1169285398.68805,0.9625968500731787,0.037403149926821255,,1
2013-06-10,104.357566627703,1176184371.0284529,45706121.619176865,1221890492.6476297,0.9625939297390395,0.037406070260960544,,1
2013-06-11,107.507520455874,1212170386.11142,45414192.47683186,1257584578.5882518,0.963887762898768,0.036112237101232014,,1
2013-06-12,106.378116306254,1199975980.6649568,43460087.68072071,1243436068.3456776,0.9650483938924644,0.03495160610753556,,1
2013-06-13,101.323897720631,1143434086.4142456,44459050.39733179,1187893136.8115773,0.962573190281523,0.037426809718477005,,1
2013-06-14,99.2132443015781,1120061949.2339363,42681109.96410963,1162743059.198046,0.963292741567903,0.03670725843209699,,1
2013-06-15,99.8750374050263,1127965182.1743383,40732803.55439403,1168697985.7287323,0.9651468522648343,0.03485314773516568,,1
2013-06-16,99.0383512565751,1118973897.9741035,39998824.3142764,1158972722.28838,0.9654876913450567,0.03451230865494326,,1
2013-06-17,100.126305084746,1131628982.2687159,40295673.91934072,1171924656.1880565,0.9656158152262013,0.034384184773798676,,1
2013-06-18,104.289176382233,1179042827.4145336,46448702.758900695,1225491530.1734343,0.9620978998097791,0.03790210019022089,,1
2013-06-19,104.417150789012,1180844662.277501,43903538.81520971,1224748201.0927107,0.9641530081235969,0.035846991876403056,,1
2013-06-20,104.323499707773,1180187215.6524065,41209419.53088747,1221396635.1832938,0.9662604117746705,0.03373958822532952,,1
2013-06-21,101.416857393337,1147731005.58289,48641269.98398029,1196372275.5668702,0.9593426971040994,0.04065730289590064,,1
2013-06-22,100.039508474576,1132583770.1846802,52198237.05553124,1184782007.2402115,0.9559427500278131,0.04405724997218685,,1
2013-06-23,100.314744593805,1136113617.018969,56441043.04233252,1192554660.0613015,0.952672154214356,0.047327845785643974,,1
2013-06-24,99.0456832261835,1122112296.7522929,52476391.907640755,1174588688.6599336,0.9553236018580171,0.044676398141982876,,1
