type,level,touches,first_touch,last_touch,dist_pct
support,15479.0,1,2022-12-31,2022-12-31,-75.81
resistance,69000.0,1,2021-12-31,2021-12-31,7.83
resistance,73794.0,1,2024-03-31,2024-03-31,15.33
resistance,126272.0,1,2025-12-31,2025-12-31,97.34
