type,level,touches,first_touch,last_touch,dist_pct
support,49577.0,1,2024-08-31,2024-08-31,-22.52
support,59930.0,1,2026-02-28,2026-02-28,-6.34
resistance,74114.0,2,2024-03-31,2025-04-30,15.83
resistance,109356.0,1,2025-01-31,2025-01-31,70.9
resistance,126272.0,1,2025-10-31,2025-10-31,97.34
