type,level,touches,first_touch,last_touch,dist_pct
support,57734.63,1,2026-07-05,2026-07-05,-25.79
support,59930.0,1,2026-02-08,2026-02-08,-22.97
support,74434.0,1,2025-04-13,2025-04-13,-4.32
resistance,81685.0,2,2025-11-23,2026-05-10,5.0
resistance,89164.0,1,2025-01-19,2025-01-19,14.61
resistance,98089.5,2,2025-06-22,2026-01-18,26.09
resistance,108330.0,3,2024-12-22,2025-09-07,39.25
resistance,112000.0,1,2025-05-25,2025-05-25,43.97
resistance,125394.5,2,2025-08-17,2025-10-12,61.18
