type,level,touches,first_touch,last_touch,dist_pct
support,49577.0,1,2024-08-31,2024-08-31,-36.35
support,59930.0,1,2026-02-28,2026-02-28,-23.06
support,74114.0,2,2024-03-31,2025-04-30,-4.85
resistance,82833.0,1,2026-05-31,2026-05-31,6.34
resistance,109356.0,1,2025-01-31,2025-01-31,40.39
resistance,126272.0,1,2025-10-31,2025-10-31,62.11
