date,btc_price,btc_mcap,alt_mcap,n_alts,eth_btc,alt_share
2014-05-20,490.335648158971,6273913162.718684,348915308.7449278,3,,0.05268373025940974
2014-05-21,493.933491817651,6322109034.304463,344414191.2754864,3,,0.051663240286022455
2014-05-22,526.81428842782,6745232578.297365,341419703.0299883,3,,0.04817785457452122
2014-05-23,523.699320280538,6707509362.755702,355715212.65230846,3,,0.05036158893925023
2014-05-24,527.691243132671,6760669281.582314,357972828.06648344,3,,0.05028667301328122
2014-05-25,573.312458796026,7347466289.31905,365928515.5778214,3,,0.04744065678389891
2014-05-26,584.847974868498,7497613476.323515,367846010.64921165,3,,0.046767262771928525
2014-05-27,573.928269245471,7359576774.76447,356243545.61893624,3,,0.04617053415277485
2014-05-28,579.189318819404,7429487155.296797,356043050.6997629,3,,0.045731381329113835
2014-05-29,570.349310929281,7318103409.655446,346126646.7906787,3,,0.045161307038214915
2014-05-30,620.846360607832,7968618784.834808,361342761.1226273,3,,0.04337868297819315
2014-05-31,627.892420689655,8061363103.304023,344946443.98887825,3,,0.04103423054412289
2014-06-01,630.074953535944,8092140707.087939,353945727.78255713,3,,0.041906477101780235
2014-06-02,663.505723845704,8524698178.61551,368426116.9571671,3,,0.041428198315026706
2014-06-03,672.387897136178,8641808154.46159,370071019.7380736,3,,0.041064800424484085
2014-06-04,643.887368790181,8278421132.739145,355778533.9784273,3,,0.041205733908361436
2014-06-05,661.503558153127,8507425132.2468815,360466031.1580301,3,,0.04064845006731293
2014-06-06,650.133315897136,8363454618.504367,355595980.3391469,3,,0.040783795931441526
2014-06-07,656.800271770894,8451764871.919811,358938626.36606866,3,,0.040738929239407515
2014-06-08,657.819974868498,8467123090.854522,361640071.24892807,3,,0.040961578038612535
2014-06-09,648.336322326125,8347582865.630777,361230039.25313663,3,,0.041478677197274307
2014-06-10,650.936609585038,8383780238.002946,357561543.0861231,3,,0.04090465194481563
2014-06-11,631.489022209235,8135608711.298166,355030598.66249394,3,,0.041814354102404916
2014-06-12,591.975077147867,7629087562.663397,332001394.76358557,3,,0.04170301280880149
2014-06-13,597.044999707773,7696859223.017364,330953287.55499244,3,,0.04122583669201768
2014-06-14,575.559461718293,7422437719.846514,322240999.9601844,3,,0.04160805265376164
2014-06-15,589.724646405611,7607913697.277698,324424488.58830327,3,,0.04089897341572871
2014-06-16,590.567482174167,7621562611.521574,317480945.482131,3,,0.039989822854927415
2014-06-17,609.080002922268,7863277527.037325,318131084.45922476,3,,0.038884634610742416
2014-06-18,607.629796025716,7846955363.483023,317540465.90184504,3,,0.03889284440062838
2014-06-19,595.751476914085,7696045540.252878,327968491.2142478,3,,0.040873369603801835
2014-06-20,591.531522793688,7644281888.102515,324033912.8970968,3,,0.04066529502463335
2014-06-21,592.764349503215,7662969895.204457,325759374.52527386,3,,0.04077737065888762
2014-06-22,599.634633547633,7754483949.454893,322689337.56494415,3,,0.03995077561150158
2014-06-23,589.552299824664,7626693090.721795,317607512.9245691,3,,0.03997929191888711
2014-06-24,579.973718585622,7505506467.194577,312746020.26994187,3,,0.04000203635932539
2014-06-25,562.236779953244,7278599165.190247,298982179.6716736,3,,0.03945614914109796
2014-06-26,580.749230274693,7520740158.499389,298581713.7656727,3,,0.03818511613196721
2014-06-27,600.638305376973,7781263113.330781,303535767.4271058,3,,0.037544009678401755
2014-06-28,594.390304208065,7703024797.867049,298330420.7141383,3,,0.037284986425966817
2014-06-29,600.840518410286,7788974904.506178,292808839.81509334,3,,0.03623071948947382
2014-06-30,638.94611396844,8285063972.982667,291391521.69155204,3,,0.03397575162285859
2014-07-01,642.95659672706,8339204790.290083,272344741.2266496,3,,0.03162552107839785
2014-07-02,651.298347749854,8449628746.898273,267306685.69560042,3,,0.030665213452895648
2014-07-03,646.413389130333,8388499950.529135,267102821.08756825,3,,0.030858950917138552
2014-07-04,630.635502922268,8186367619.644586,245106161.39574122,3,,0.02907038173408143
2014-07-05,630.468341905318,8186593458.815447,242522877.41816,3,,0.02877204059643182
2014-07-06,634.67267445938,8243439551.879233,239392840.75943983,3,,0.028220861815822604
2014-07-07,622.854978959673,8092281240.717175,252160352.8642293,3,,0.030218960734076275
2014-07-08,624.894331092928,8121120346.3892145,260195026.42449605,3,,0.031044652879723984
2014-07-09,621.939091759205,8085295133.413473,262271006.60517985,3,,0.031418859366425314
2014-07-10,616.522849795441,8017179778.299044,261458972.85762763,3,,0.03158236283967545
2014-07-11,634.494378141438,8253353630.980082,265493893.33061346,3,,0.031165470748591193
2014-07-12,636.923957934541,8287456960.000429,289605427.9686617,3,,0.033765106847641294
2014-07-13,629.87575043834,8198267373.456794,300093080.40049726,3,,0.03531187951251103
2014-07-14,619.197459088252,8061371837.189572,288598732.0967765,3,,0.03456284422825724
2014-07-15,621.934601402689,8099479060.359117,289350010.62818974,3,,0.03449230019823676
2014-07-16,616.351882232612,8028993953.251206,279230387.311534,3,,0.03360891279118023
2014-07-17,624.259274985389,8134685025.076653,296149648.2006989,3,,0.035126966626375024
2014-07-18,630.750140268849,8221979325.367266,297577659.9980398,3,,0.034928771590965545
2014-07-19,629.17336440678,8204209766.049146,301582138.05462426,3,,0.035456091737809926
2014-07-20,625.248676212741,8155455986.217747,289844577.74680126,3,,0.03432022052400904
2014-07-21,621.305331385155,8106428368.504002,290462572.8687992,3,,0.034591681003934976
2014-07-22,619.823264465225,8089291599.24513,287944565.81004596,3,,0.03437226313508728
2014-07-23,619.772816773817,8090895378.982157,284855626.29102606,3,,0.03400956237974212
2014-07-24,602.87964552893,7872516830.5178385,265270835.1568867,3,,0.03259741419351624
2014-07-25,601.578514319112,7857977844.637789,256122119.6152831,3,,0.03156506830623696
2014-07-26,594.702607247224,7770155179.104973,258144016.1555513,3,,0.032154259560723104
2014-07-27,591.575444184687,7731559647.227797,261868315.4155811,3,,0.03276045229148258
2014-07-28,587.493004967855,7680407552.468034,258498004.4763823,3,,0.03256091190683907
2014-07-29,584.11239333723,7638387993.689982,258226187.22721556,3,,0.032700874236864685
2014-07-30,562.914625073057,7363607117.266952,245204692.8965488,3,,0.03222641051116755
2014-07-31,581.975561952075,7615187932.454973,256280557.6812045,3,,0.032558163448453414
2014-08-01,596.506759205143,7807670878.872717,263247072.5162968,3,,0.0326167449727316
2014-08-02,589.757261542957,7721730033.748467,260203174.25136784,3,,0.03259901673827351
2014-08-03,586.753736703682,7684663690.325994,255543578.04376242,3,,0.03218348960004282
2014-08-04,587.60833547633,7697736644.30162,252636754.79213408,3,,0.03177671564720867
2014-08-05,581.881988603156,7624684694.6667,244490092.4244813,3,,0.031069343233492513
2014-08-06,582.248371420222,7631872806.490932,243331036.2584516,3,,0.030898379409249693
2014-08-07,586.046633547633,7684003054.893186,242820332.0350246,3,,0.030632741538741657
2014-08-08,589.024412624196,7725373119.050059,238507407.5169103,3,,0.029948642087392653
2014-08-09,588.978521332554,7727451082.260733,236022084.6984192,3,,0.029638083754420952
2014-08-10,589.373502045587,7735241242.426254,235659231.17428234,3,,0.029564944632639815
2014-08-11,573.441483927528,7528750393.807314,207420762.87395084,3,,0.02681181151154005
2014-08-12,568.307520163647,7463818388.651987,195942286.78241947,3,,0.02558073222977127
2014-08-13,548.370175336061,7203960811.173461,176412746.80233422,3,,0.023902956322812297
2014-08-14,505.107499707773,6637890303.918651,174953298.71482486,3,,0.02567992293954868
2014-08-15,500.323060132671,6577079233.508922,734584115.080736,4,,0.10046744223014993
2014-08-16,521.7479628872,6860784727.658821,730870007.9798837,4,,0.09627281975151546
2014-08-17,497.764658971362,6547529019.656276,993272954.3352879,4,,0.1317198035117636
2014-08-18,468.957918176505,6170930387.993115,603143542.7505447,4,,0.08903704756058536
2014-08-19,486.794350672122,6407900293.387209,652443437.9587495,4,,0.09240958553647785
2014-08-20,515.120353886616,6782945022.741428,693280011.9024068,4,,0.09273129268980525
